report,sys_time,sim_state,service_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,cdma_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac_sid,long_cid,node_id_nid,cid_bid,psc_pci,rssi,rsrq,rssi_ev,ecio_ev,rssnr,slev,ta,gps,accuracy,lat,long,altitude,speed,bearing,band,arfcn,bts_psc_pci,bts_band,bts_arfcn,site_name,cell_lat,cell_long,cell_name,azimuth,height,tilt_mech,tilt_el,
0,20200418135921,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-101,LTE,510,10,3942,44230178,172774,34,113,-103,-14,2147483647,2147483647,12,2,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
1,20200418135922,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-105,LTE,510,10,3942,44230178,172774,34,113,-91,-7,2147483647,2147483647,12,3,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
2,20200418135923,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-105,LTE,510,10,3942,44230178,172774,34,113,-91,-7,2147483647,2147483647,62,3,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
3,20200418135924,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-99,LTE,510,10,3942,44230178,172774,34,113,-103,-13,2147483647,2147483647,62,2,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
4,20200418135925,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-99,LTE,510,10,3942,44230178,172774,34,113,-103,-13,2147483647,2147483647,62,2,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
5,20200418135926,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-99,LTE,510,10,3942,44230178,172774,34,113,-103,-13,2147483647,2147483647,62,2,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
6,20200418135927,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-109,LTE,510,10,3942,44230178,172774,34,113,-101,-10,2147483647,2147483647,62,2,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
7,20200418135928,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-109,LTE,510,10,3942,44230178,172774,34,113,-101,-10,2147483647,2147483647,30,2,2147483647,2,25,-7.4276391,109.2581678,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
8,20200418135929,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-114,LTE,510,10,3942,44230178,172774,34,113,-101,-9,2147483647,2147483647,30,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
9,20200418135930,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-114,LTE,510,10,3942,44230178,172774,34,113,-101,-9,2147483647,2147483647,92,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
10,20200418135931,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-106,LTE,510,10,3942,44230178,172774,34,113,-100,-8,2147483647,2147483647,92,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
11,20200418135932,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-106,LTE,510,10,3942,44230178,172774,34,113,-100,-8,2147483647,2147483647,40,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
12,20200418135933,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-106,LTE,510,10,3942,44230178,172774,34,113,-100,-8,2147483647,2147483647,40,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
13,20200418135934,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-109,-10,2147483647,2147483647,40,1,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
14,20200418135935,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-109,-10,2147483647,2147483647,40,1,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
15,20200418135936,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-101,LTE,510,10,3942,44230178,172774,34,113,-97,-9,2147483647,2147483647,40,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
16,20200418135937,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-101,LTE,510,10,3942,44230178,172774,34,113,-97,-9,2147483647,2147483647,12,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
17,20200418135938,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-101,LTE,510,10,3942,44230178,172774,34,113,-97,-9,2147483647,2147483647,12,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
18,20200418135939,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-104,LTE,510,10,3942,44230178,172774,34,113,-98,-9,2147483647,2147483647,62,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
19,20200418135940,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-104,LTE,510,10,3942,44230178,172774,34,113,-98,-9,2147483647,2147483647,62,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
20,20200418135941,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-105,LTE,510,10,3942,44230178,172774,34,113,-104,-10,2147483647,2147483647,62,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
21,20200418135942,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-105,LTE,510,10,3942,44230178,172774,34,113,-104,-10,2147483647,2147483647,62,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
22,20200418135943,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-105,LTE,510,10,3942,44230178,172774,34,113,-104,-10,2147483647,2147483647,62,2,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
23,20200418135944,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-92,-7,2147483647,2147483647,62,3,2147483647,2,25,-7.427663,109.2581711,100.6,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
24,20200418135945,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-92,-7,2147483647,2147483647,62,3,2147483647,1,125,-7.4276439,109.25815008,124.677,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
25,20200418135946,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-101,LTE,510,10,3942,44230178,172774,34,113,-81,-9,2147483647,2147483647,2,4,2147483647,1,125,-7.4276439,109.25815008,124.677,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
26,20200418135947,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-101,LTE,510,10,3942,44230178,172774,34,113,-81,-9,2147483647,2147483647,2,4,2147483647,1,125,-7.4276439,109.25815008,124.677,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
27,20200418135948,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-96,LTE,510,10,3942,44230178,172774,34,113,-88,-7,2147483647,2147483647,88,3,2147483647,1,125,-7.4276439,109.25815008,124.677,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
28,20200418135949,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-96,LTE,510,10,3942,44230178,172774,34,113,-88,-7,2147483647,2147483647,88,3,2147483647,1,125,-7.4276439,109.25815008,124.677,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
29,20200418135950,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-96,LTE,510,10,3942,44230178,172774,34,113,-88,-7,2147483647,2147483647,88,3,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
30,20200418135951,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-98,LTE,510,10,3942,44230178,172774,34,113,-95,-9,2147483647,2147483647,88,3,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
31,20200418135952,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-98,LTE,510,10,3942,44230178,172774,34,113,-95,-9,2147483647,2147483647,88,3,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
32,20200418135953,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-106,-17,2147483647,2147483647,88,1,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
33,20200418135954,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-106,-17,2147483647,2147483647,58,1,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
34,20200418135955,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-106,-17,2147483647,2147483647,58,1,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
35,20200418135956,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-93,LTE,510,10,3942,44230178,172774,34,113,-103,-18,2147483647,2147483647,58,2,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
36,20200418135957,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-93,LTE,510,10,3942,44230178,172774,34,113,-103,-18,2147483647,2147483647,-44,2,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
37,20200418135958,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-106,LTE,510,10,3942,44230178,172774,34,113,-101,-11,2147483647,2147483647,-44,2,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
38,20200418135959,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-106,LTE,510,10,3942,44230178,172774,34,113,-101,-11,2147483647,2147483647,38,2,2147483647,2,1200,-7.4307931,109.2576915,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
